Tiempo (s),Acc X (m/s^2),Acc Y (m/s^2),Acc Z (m/s^2),Ang X (deg),Ang Y (deg),Ang Z (deg)
0,-5.32,2.358,7.02,15,35.7,39.7
0.05,-5.234,2.263,7.195,14.3,34.8,38.4
0.1,-5.547,2.078,7.113,13,36.8,39.8
0.15,-5.186,2.064,7.542,12.7,33.6,36.5
0.2,-5.049,1.844,7.444,11.6,33.4,35.8
0.25,-5.112,1.968,7.408,12.3,33.7,36.5
0.3,-5.497,1.858,7.707,11.1,34.7,37
0.35,-5.588,1.999,7.305,12.3,36.4,39.1
0.4,-5.933,1.954,7.618,11.4,37,39.3
0.45,-5.064,1.949,7.314,12.4,33.8,36.6
0.5,-5.32,1.812,7.135,11.5,35.9,38.2
0.55,-4.975,2.085,7.245,13.3,33.4,36.7
0.6,-5.844,2.016,7.25,12.2,37.8,40.5
0.65,-5.578,1.781,7.475,10.8,36,38.1
0.7,-6.074,1.444,7.642,8.4,38,39.2
0.75,-5.643,1.312,7.405,8,36.9,38
0.8,-5.825,1.695,7.238,10.3,38.1,40
0.85,-6.5,1.307,8.437,7,37.3,38.2
0.9,-5.926,1.712,7.831,9.9,36.5,38.2
0.95,-5.203,1.14,8.155,6.7,32.3,33.1
1,-4.307,1.338,8.207,8.2,27.4,28.8
1.05,-4.865,1.03,7.087,6.8,34.2,35.1
1.1,-5.748,1.489,6.85,9.5,39.4,40.9
1.15,-7.374,2.205,5.641,13.4,50.6,53.8
1.2,-7.456,2.054,6.203,12,48.8,51.3
1.25,-6.826,1.14,8.308,6.1,39.1,39.8
1.3,-6.586,0.747,4.853,5.2,53.3,53.8
1.35,-4.274,-0.848,9.984,-4.5,23.1,23.6
1.4,-7.022,1.911,6.682,11.2,45.3,47.4
1.45,-6.009,0.508,9.91,2.5,31.2,31.3
1.5,-4.484,-0.153,9.941,-0.8,24.3,24.3
1.55,-5.614,0.86,5.107,6.5,47.3,48
1.6,-5.277,0.958,5.389,7.2,44,44.9
1.65,-5.035,1.607,4.712,13.1,45.3,48.3
1.7,-6.184,0.577,8.028,3.3,37.5,37.7
1.75,-11.317,-1.185,8.464,-4.8,52.9,53.4
1.8,-8.224,3.041,0.982,20.2,68.8,83.6
1.85,-8.047,1.963,1.441,13.5,73.2,80.1
1.9,-7.434,-0.022,4.168,-0.1,60.7,60.7
1.95,-4.642,0.718,8.722,4.2,27.9,28.3
2,-5.411,1.496,6.383,10.1,39.5,41.3
2.05,-7.286,2.179,3.95,14.7,58.2,62.5
2.1,-4.913,2.145,5.957,15.5,37.8,42
2.15,-7.702,0.639,10.537,2.8,36.1,36.3
2.2,-0.532,-0.287,7.841,-2.1,3.9,4.4
2.25,-9.225,-1.209,5.049,-6.6,60.6,61.5
2.3,-5.057,0.63,5.045,5,44.8,45.3
2.35,-5.291,-0.067,5.751,-0.5,42.6,42.6
2.4,-4.264,2.037,5.195,16.9,37.4,42.3
2.45,-6.785,0.182,6.481,1.1,46.3,46.3
2.5,-5.543,3.191,8.124,18,32.4,38.2
2.55,-5.78,0.426,6.531,2.8,41.4,41.6
2.6,-5.294,0.275,6.946,1.8,37.3,37.4
2.65,-4.063,0.419,5.562,3.5,36.1,36.3
2.7,-4.779,-0.342,8.028,-2.1,30.7,30.8
2.75,-3.11,-0.235,7.348,-1.7,22.9,23
2.8,-2.998,-2.409,7.084,-17.4,21.8,28.5
2.85,-8.013,-3.625,7.235,-18.6,44.7,50.6
2.9,-9.153,0.208,5.753,1.1,57.8,57.9
2.95,-10.223,-0.704,6.112,-3.4,59,59.2
3,-9.682,0.077,7.317,0.4,52.9,52.9
3.05,-1.856,-1.295,5.753,-12.1,17.5,21.5
3.1,-10.585,-2.162,3.84,-10.9,67.4,70.4
3.15,-8.09,-0.287,5.243,-1.7,57,57.1
3.2,-6.819,0.338,5.138,2.3,52.9,53
3.25,-9.34,2.148,5.145,11.4,59.2,61.8
3.3,-7.032,1.255,2.423,9.6,68.8,71.3
3.35,-8.983,0.855,2.942,5.2,71.2,71.9
3.4,-8.162,0.886,2.974,5.8,69.2,70.1
3.45,-10.417,1.887,3.127,9.8,70.7,73.5
3.5,-9.048,1.994,1.628,12.2,74.1,80
3.55,-10.592,0.431,-2.207,2.3,78,101.8
3.6,-11.296,1.183,-0.134,6,84,90.7
3.65,-8.813,1.269,2.701,7.8,71.3,73.1
3.7,-5.272,1.322,3.184,12.1,56.8,59.6
3.75,-7.23,-0.436,3,-3.2,67.3,67.5
3.8,-8.274,-0.026,-0.718,-0.2,85,95
3.85,-9.199,1.07,8.727,4.8,46.3,46.7
3.9,-7.604,0.575,-0.302,4.3,85.1,92.3
3.95,-11.777,1.338,-0.041,6.5,83.5,90.2
4,-8.562,0.244,-0.335,1.6,87.2,92.2
4.05,-9.74,1.595,-0.16,9.3,80.7,90.9
4.1,-9.91,0.702,-0.354,4,85.5,92
4.15,-8.76,1.243,-0.393,8.1,81.5,92.5
4.2,-10.171,1.621,-0.283,9.1,80.8,91.6
4.25,-8.763,2.255,-0.232,14.4,75.5,91.5
